tradeId,subjectId,year,moduleId,moduleName,moduleDuration,moduleDescription,learningOutcome,assessmentCriteria,evalutionsPoints[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M1,"Trade and Orientation, Occupational Safety & Health, Hand tools and their uses",10,"Covers familiarization with the ITI system, foundational safety protocols, first aid, and the identification and use of basic hand tools.","Perform basic workshop operations using suitable tools for fitting, riveting, drilling etc. observing suitable care & safety following safety precautions.",NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M2,"Basics of AC and Electrical Cables, Single range meters",15,"Introduces concepts of electric charges, voltage, current, basic AC/DC properties, cable specifications, and the fundamental operation of single range meters.",Select and perform electrical/ electronic measurement of single range meters and calibrate the instrument.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M3,Cells & Batteries,6,"Details the construction, specification, charging processes, and maintenance of primary and secondary cells/batteries.",Test &service different batteries used in electronic applications and record the data to estimate repair cost.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M4,AC & DC measurements,10,"Explains the classification of electrical measuring instruments, including MC/MI meters, and details the use of tools like CRO/DSO and LCR meters.",Measure AC/DC using proper measuring instruments and compare the data using standard parameter.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M5,Digital Storage Oscilloscope,9,"Covers the block diagram, advantages, and practical applications of Digital Storage Oscilloscopes and function generators.",Measure the various parameters by DSO and execute the result with standard one.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M6,Soldering/ De-soldering and Various Switches,5,"Provides knowledge on soldering guns, materials, flux usage, and specifications for various electrical and electronic switches.","Plan and execute soldering & de-soldering of various electrical components like Switches, PCB & Transformers for electronic circuits.",NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M7,Active and Passive Components,25,"Discusses Ohm's law, Kirchhoff's law, and the characteristics, applications, and behaviors of resistors, inductors, capacitors, and relays.",Test various electronic components using proper measuring instruments and compare the data using standard parameter.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M8,Power Supply Circuits & IC Regulators,10,"Explains semiconductor materials, diodes, rectifiers, filter circuits, transformers, and IC-based regulated power supplies.",Assemble simple electronic power supply circuit and test for functioning.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M9,"Transistor, Amplifier, Oscillators, Wave shaping circuits",15,"Details the construction and working of PNP/NPN transistors, various amplifier configurations, oscillators, and clipping/clamping circuits.","Construct, test and verify the input/output characteristics of various analog circuits.",NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M10,"Power Electronic Components, MOSFET & IGBT",20,"Covers the working principles, specifications, and characteristics of FETs, SCRs, TRIACs, DIACs, UJTs, MOSFETs, and IGBTs.",Plan and construct different power electronic circuits and analyse the circuit functioning.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M11,Opto Electronics,6,"Introduces the working principles and applications of optical components like LEDs, IR LEDs, photo diodes, opto-couplers, and LASER diodes.",Select the appropriate opto electronics components and verify the characteristics in different circuit.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M12,"Basic Gates, Combinational Circuits, Flip Flops",15,"Outlines digital signals, number systems, logic gates, combinational logic circuits, encoders/decoders, multiplexers, and flip-flops.","Assemble, test and troubleshoot various digital circuits.",NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M13,Electronic circuit simulator,4,"Introduces electronic circuit simulation software, teaching how to explore component libraries and utilize testing resources digitally.",Simulate and analyze the analog and digital circuits using Electronic simulator software.,NA,[]
69cbe4ec1adc9d43e4e3,69cbec4d002dbcf7a5c4,FIRST,M14,Op-Amp & Timer 555 Applications,15,"Discusses the internal block diagrams, ideal characteristics, configurations, and functional applications of IC 741 Operational Amplifiers and 555 Timers.",Construct and test different circuits using ICs 741operational amplifiers & ICs 555 linear integrated circuits and execute the result.,NA,[]